bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
010240000404,"АО ""АКМОЛИНСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,116665100,а. КАБАНБАЙ БАТЫРА,311,Крупное компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
010240000910,"ТОО ""КОКШЕТАУ ЭНЕРГО""",35130,Распределение электроэнергии,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
011241003139,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""АКМОЛИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",52211,Эксплуатация железных дорог,111010000,г. КОКШЕТАУ,311,Крупная компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
060441012905,"ФИЛИАЛ АО ""ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,116839100,п. ЖОЛЫМБЕТ,311,Крупное компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
061041010322,"ФИЛИАЛ РУДНИК АКСУ АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО- МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,111833100,п. АКСУ,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
070541013057,"ФИЛИАЛ АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН"" - РУДНИК БЕСТОБЕ",07298,Добыча драгоценных металлов и руд редких металлов,111837100,п. БЕСТОБЕ,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
080940017279,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ АКМОЛИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
091041004551,"ФИЛИАЛ ""АТБАСАРСКИЙ ЭЛЕКТРОВОЗОРЕМОНТНЫЙ ЗАВОД"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,113820100,г. АТБАСАР,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
101040011256,"ТОО ""ALTYNTAU KOKSHETAU""",07298,Добыча драгоценных металлов и руд редких металлов,115649200,с. ВАСИЛЬКОВКА,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
950440000010,"АО ""КОКШЕТАУСКИЕ МИНЕРАЛЬНЫЕ ВОДЫ""",11010,"Дистилляция, ректификация и смешивание спиртных напитков",111010000,г. КОКШЕТАУ,311,Крупное компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
960840000681,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КОКШЕТАУСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ Ш.УАЛИХАНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
990640000283,"АО ""СТЕПНОГОРСКИЙ ПОДШИПНИКОВЫЙ ЗАВОД""",28151,Производство подшипников,111810000,г. СТЕПНОГОРСК,311,Крупное компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
990940003176,"АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,111810000,г. СТЕПНОГОРСК,311,Крупное компания (от 1001 чел.),akmolinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-akmolinskaya-oblast-305-310-311.html
