bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
000241000874,"ФИЛИАЛ ""АДЖИП КАЗАХСТАН НОРТ КАСПИАН ОПЕРЕЙТИНГ КОМПАНИ Н.В. В РЕСПУБЛИКЕ КАЗАХСТАН""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),231010000,г. Атырау,311,Крупная компания (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
001240000920,"ТОО ""БОЛАШАК-АТЫРАУ""",78300,Деятельность прочих организаций по работе с персоналом,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
010341002201,"АТЫРАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEMSER SECURITY""",80200,Деятельность в области систем охраны,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
010940000291,"АО ""АТЫРАУ-ЖАРЫК""",35130,Распределение электроэнергии,231010000,г. Атырау,311,Крупная компания (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
020240000802,"ТОО ""ЮСС СУПОРТ СЕРВИСЕЗ""",56290,Прочие виды организации питания,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
030941002762,"ФИЛИАЛ ""СИЧИМ С.П.А., КАЗАХСТАН""",42211,Строительство нефтяных и газовых магистральных трубопроводов,231039300,Атырауская область СТ. КАРАБАТАН,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
040740000537,"ТОО ""АТЫРАУСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""",19201,Производство продуктов нефтепереработки,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
050541006348,"ФИЛИАЛ АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА"" - ""АТЫРАУСКАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА""",80100,Деятельность частных охранных служб,231010000,г. Атырау,311,Крупная компания (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
050840002162,"ТОО ""ИДЕАЛ МАРКЕТ""",47111,"Розничная торговля преимущественно продуктами питания, включая напитки и табачными изделиями в неспециализированных магазинах",231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
060540013387,"ТОО ""КАЗАХСТАНСКАЯ СИСТЕМА БЕЗОПАСНОСТИ ГРУП""",80100,Деятельность частных охранных служб,231047100,Атырауская область с. ЖУМЫСКЕР,311,Крупное предприятие (от 1001 чел.),atyrauskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-atyrauskaya-oblast-305-310-311.html
