bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
010440002379,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д. СЕРИКБАЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
020240005823,"ТОО ""КАЗЦИНК-ТРАНС""",49410,Грузовые перевозки автомобильным транспортом,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
020940001509,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ӨСКЕМЕН ВОДОКАНАЛ"" АКИМАТА ГОРОДА УСТЬ-КАМЕНОГОРСКА",36000,"Сбор, обработка и распределение воды",631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
021240000409,"ТОО ""КАРАЖЫРА ЛТД""",05101,Добыча каменного угля открытым способом,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
030340004913,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ ЛЕСНОЙ ПРИРОДНЫЙ РЕЗЕРВАТ ""СЕМЕЙ ОРМАНЫ"" КОМИТЕТА ЛЕСНОГО И ОХОТНИЧЬЕГО ХОЗЯЙСТВА МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",84120,"Регулирование деятельности учреждений, обеспечивающих медицинское обслуживание, образование, культурное обслуживание и другие социальные услуги, кроме социального обеспечения",632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
030840005887,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОКОММУНЭНЕРГО"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ ГОРОДА СЕМЕЙ"", НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ",35302,Производство тепловой энергии самостоятельными котельными,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
031140005329,"ТОО ""КАЗЦИНКМАШ""",25620,Машинная обработка; обработка и покрытие металлов,632410000,г. Риддер,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
040740006655,"ТОО ""КАЗЦИНК-РЕМСЕРВИС""",33125,Ремонт и техническое обслуживание прочих машин и оборудования специального назначения,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
041140005787,"АО ""ФИНАНСОВО-ИНВЕСТИЦИОННАЯ КОРПОРАЦИЯ ""АЛЕЛ""",24410,Производство благородных (драгоценных) металлов,632810000,г. Семей,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
060340000070,"ТОО ""ЦЕМЕНТНЫЙ ЗАВОД СЕМЕЙ""",23510,"Производство цемента, включая клинкеры",632810000,г. Семей,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
