bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
001040003175,"АО ""РУДНЫЙСОКОЛОВСТРОЙ""",41202,Строительство нежилых зданий,392410000,г. Рудный,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
011241001321,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""Костанайское ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,391010000,г. Костанай,311,Крупная компания (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
011241003209,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""Костанайское ОТДЕЛЕНИЕ ДОРОГИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
030640002151,"ТОО ""ЭПК-FORFAIT"" (ЭПК-ФОРФАЙТ)",35120,Передача электроэнергии,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
040341005787,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""АЛЮМИНИЙ КАЗАХСТАНА"" КРАСНООКТЯБРЬСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (КБРУ)",07291,Добыча и обогащение алюминий-содержащего сырья,392035100,п. ОКТЯБРЬСКИЙ,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
040441006441,"ФИЛИАЛ АО ""АЛЮМИНИЙ КАЗАХСТАНА"" ТОРГАЙСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (ТБРУ)",07291,Добыча и обогащение алюминий-содержащего сырья,391610000,г. Аркалык,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
050541006407,"ЛисаковскИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕН""",07102,Добыча железной руды открытым способом,392010000,г. Лисаковск,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
910540000047,"АО ""Костанайские Минералы""",08991,Добыча асбестовой руды,394420100,г. Житикара,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
920240000127,"АО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ""",07102,Добыча железной руды открытым способом,392410000,г. Рудный,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
930940000055,"АО ""БАЯН СУЛУ""",10820,"Производство какао, шоколада и сахаристых кондитерских изделий",391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.),kostanayskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kostanayskaya-oblast-305-310-311.html
