bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
070740008082,"ТОО ""БАСТАУ-S""",43999,"Прочие строительные работы, требующие специальных профессий",431010000,г. Кызылорда,311,Крупная компания (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
140140016919,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АральскАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ ""УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,433220100,г. Аральск,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
140640020390,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ШИЕЛИЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ "" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,435230100,с. ШИЕЛИ,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
140740004907,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗАЛИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ "" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86109,"Деятельность других лечебных учреждений, имеющих стационары",434430100,п. Айтеке Би,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
140740007416,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖАНАКОРГАНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,434030100,с. ЖАНАКОРГАН,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
940540000210,"АО ""ПЕТРОКАЗАХСТАН КУМКОЛЬ РЕСОРСИЗ""",06100,Добыча сырой нефти и попутного газа,431010000,г. Кызылорда,311,Крупная компания (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
940740000753,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
960540000620,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛОРДИНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ КОРКЫТ-АТА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН""",85420,Высшее образование,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
981241000811,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ВОЛКОВГЕОЛОГИЯ"" ""ГЕОЛОГОРАЗВЕДОЧНАЯ ЭКСПЕДИЦИЯ №23""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),435230100,с. ШИЕЛИ,311,Крупная компания (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
990140001967,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.),kyzylordinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-kyzylordinskaya-oblast-305-310-311.html
