bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
000240004495,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ТУРКЕСТАНСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,512610000,Г.ТУРКЕСТАН,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
000440003612,"АО ""ЭНЕРГООРТАЛЫҚ-3""",35302,Производство тепловой энергии самостоятельными котельными,511015100,"Шымкент, Енбекшинский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
011241003744,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""ШЫМКЕНТСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",52211,Эксплуатация железных дорог,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
020540002959,"ТОО ""ШЫМКЕНТПИВО""",11050,Производство пива,511015100,"Шымкент, Енбекшинский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
021141001161,"ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ-Филиал АО ""КАЗАХТЕЛЕКОМ""",61900,Другие виды телекоммуникационных услуг,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
030341004320,"ФИЛИАЛ ШЫМКЕНТСКИЙ ИНСТИТУТ УЧРЕЖДЕНИЯ ""МЕЖДУНАРОДНЫЙ КАЗАХСКО-ТУРЕЦКИЙ УНИВЕРСИТЕТ ИМЕНИ ХОДЖИ АХМЕТА ЯСАВИ""",85420,Высшее образование,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
030440005327,"ТОО ""ЭРИСТАЙЛ-КАЗАХСТАН""",41201,Строительство жилых зданий,511011100,"Шымкент, Абайский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
050140004649,"ТОО ""ПЕТРОКАЗАХСТАН ОЙЛ ПРОДАКТС""",19201,Производство продуктов нефтепереработки,511015100,"Шымкент, Енбекшинский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
050740003632,"ТОО ""ОҢТҮСТИК ЖАРЫҚ ТРАНЗИТ""",35120,Передача электроэнергии,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
060440001914,"ТОО ""ТОРГОВО-ТРАНСПОРТНАЯ КОМПАНИЯ""",52299,Прочая транспортно-экспедиционная деятельность,515655100,АУЛ ТАУКЕНТ,311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
070340009899,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ШЫМКЕНТСКАЯ ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,511015100,"Шымкент, Енбекшинский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
070340010032,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР №1"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86102,Деятельность родильных домов,511015100,"Шымкент, Енбекшинский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
070941023564,"ЮЖНО-КАЗАХСТАНСКИЙ Филиал АО ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,511015100,"Шымкент, Енбекшинский район",311,Крупнейшая компания (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
081040003050,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
081041016345,"ШЫМКЕНТСКИЙ ФИЛИАЛ №2 АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,515257100,С.КАРАСУ,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
090940018030,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""МАКТААРАЛЬСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА ""ЖЕТЫСАЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,514453600,С.ЫНТЫМАК,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
091040002074,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САЙРАМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,515230100,С.АКСУ,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
091040002460,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЯ ""ОРДАБАСИНСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",86900,Прочая деятельность по охране здоровья,514630100,С.ТЕМИРЛАНОВКА,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
091040002956,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КАЗЫГУРТСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТЫ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,514030100,С.КАЗЫГУРТ,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
091040005069,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САЙРАМСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА ""АКСУКЕНТ"" УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,515230100,С.АКСУ,311,Крупнейшее предприятие (от 1001 чел.),south-oblast,https://kazdata.kz/04/2015-kazakhstan-south-oblast-305-310-311.html
