bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
000540004278,"РЕСПУБЛИКАНСКОЕ ГОС. УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 85395"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,311010000,г. Тараз,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
001241003623,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗФОСФАТ"" ""ГОРНО-ПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС ""КАРАТАУ""",08910,Добыча минерального сырья для химической промышленности и производства удобрений,316020100,г. Жанатас,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
010340000616,"ГОС. УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 2035"" ПОГРАНИЧНОЙ СЛУЖБЫ КОМИТЕТА НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ КАЗАХСТАН""",84220,Оборонная деятельность,311010000,г. Тараз,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
011241000670,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""ЖАМБЫЛСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",52211,Эксплуатация железных дорог,311010000,г. Тараз,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
021041001326,"ЖАМБЫЛСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ-ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61900,Другие виды телекоммуникационных услуг,311010000,г. Тараз,311,Крупная компания (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
031241005209,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЛОКОМОТИВ""-""ШУСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,316621100,г. Шу,311,Крупная компания (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
061040004947,"ТОО ""ЖАМБЫЛСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ""",35130,Распределение электроэнергии,311010000,г. Тараз,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
091041004244,"ФИЛИАЛ ""ШУСКИЙ ЛОКОМОТИВОРЕМОНТНЫЙ ЗАВОД"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,316621100,г. Шу,311,Крупный завод (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
091141018017,"ЖАМБЫЛСКИЙ ФИЛИАЛ ТОО ""КАЗАХДОРСТРОЙ""",42110,Строительство дорог и автомагистралей,315030100,а. КУЛАН,311,Крупное предприятие (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
950640000810,"АО ""АК АЛТЫНАЛМАС""",24410,Производство благородных (драгоценных) металлов,311010000,г. Тараз,311,Крупная компания (от 1001 чел.),zhambylskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-zhambylskaya-oblast-305-310-311.html
