name,address,activity,manager,company_size,bin,status,link
ЧАСТНОЕ УЧРЕЖДЕНИЕ «ДЕТСКИЙ ЯСЛИ САД «НҰР–ЖАЙНА»,"Казахстан, Кызылординская область, Жанакорганский район, Жанакорганский С.О., П.Жанакорган, улица Алдамжар Мухаммеджанов, здание 89",Дошкольное образование,Аманова Венера Абубакировна,Малое предприятие · 16-20 чел.,160240027773,Активная,https://statsnet.co/companies/kz/15930027
"""ОБЛАСТНОЙ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЕНКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ, КГУ","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Бейбарыс Султан, здание 7",Ппредоставление прочих социальных услуг с обеспечением проживания,Ержанова Гульсим Естаевна,Малое предприятие · 51-100 чел.,650240000020,Активная,https://statsnet.co/companies/kz/15928200
"ДЕТСКИЙ ЯСЛИ САД МЕРУЕРТ, ТОО","Казахстан, Кызылординская область, Жанакорганский район, Жанакорганский С.О., П.Жанакорган, проспект Хорасан Ата, здание 109а",Дошкольное образование,Набиева Гульмира Рахмбердиевна,Малое предприятие · 21-30 чел.,980940002724,Активная,https://statsnet.co/companies/kz/15179805
"ДЕТСКИЙ САД ""ГҮЛ-АРМАН"", ТОО","Казахстан, Кызылординская область, Жанакорганский район, Озгентский С.О., С.Аксуат, улица Шакарим Кудайбердиев, здание 11",Дошкольное образование,Сазанбеков Нұрсұлтан Тастемірұлы,Малое предприятие · 16-20 чел.,130640009219,Активная,https://statsnet.co/companies/kz/15755650
АДВОКАТСКАЯ КОНТОРА «GREAT DEFENDER»,"Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, Микрорайон Акмаржан, улица Жаппасбай Батыр, Строение 121",Адвокатская деятельность,Жамалбеков Ерлан Раймбекович,Малое предприятие · 1 - 5 чел.,241040039680,Активная,https://statsnet.co/companies/kz/233684051
"TECHNO LIFE 1, ТОО","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Гани Муратбаев, дом 17","Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Конысбаева Гульсим Туребековна,Малое предприятие · 1 - 5 чел.,241040037872,Активная,https://statsnet.co/companies/kz/233685836
"SMART ELECTRONICS 1, ТОО","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Гани Муратбаев, дом 17","Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Конысбаева Гульсим Туребековна,Малое предприятие · 1 - 5 чел.,241040037892,Активная,https://statsnet.co/companies/kz/233685865
"TECHNO MOBILE SHOP, ТОО","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Гани Муратбаев, дом 17","Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Конысбаева Гульсим Туребековна,Малое предприятие · 1 - 5 чел.,241040037911,Активная,https://statsnet.co/companies/kz/233685868
"MOBILE STYLE, ТОО","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Гани Муратбаев, дом 17","Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Конысбаева Гульсим Туребековна,Малое предприятие · 1 - 5 чел.,241040037901,Активная,https://statsnet.co/companies/kz/233685866
"NOVA TECHNICS, ТОО","Казахстан, Кызылординская область, Кызылорда г.а., г.Кызылорда, улица Гани Муратбаев, дом 17","Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Конысбаева Гульсим Туребековна,Малое предприятие · 1 - 5 чел.,241040037802,Активная,https://statsnet.co/companies/kz/233685356
